a.m.	[ˌeɪ ˈem] abbr. 上午，午前; 
admit	[ædˈmɪt, ədˈmɪt] vt.&vi. 许可进入 vt. 允许 vi. 承认 
adopt	[əˈdɒpt, əˈdɑ:pt] vt. 收养 
adult	[ˈædʌlt,  əˈdʌlt, ˈædʌlt] adj. 成年的;成年人的 n. 成年的人或动物 
advance	[ədˈvɑ:ns, ədˈvæns] vt. 预付 vi. （数量等）增加 n. 增长 adj. 预先的 
advanced	[ədˈvɑ:nst, ədˈvænst] adj. 先进的;高等的，高深的 v. 前进(advance的过去式和过去分词);增加 
advantage	[ədˈvæntɪdʒ, ədˈvɑ:ntɪdʒ] n. 有利条件 vt. 有利于 vi. 得益，获利 
adventure	[ədˈventʃə(r), ædˈvɛntʃɚ] n. 奇遇 
advertise	[ˈædvərtaɪz, ˈædvətaɪz] vt. 宣扬;做广告，做宣传 vi. 登广告，做广告;做宣传 
advice	[əd'vaɪs, ədˈvaɪs] n. 建议 
advise	[ədˈvaɪz, ædˈvaɪz] vt. （商业）通知，报告;提议，建议 vi. 接受劝告，商量;建议，提供意见 
adviser	[ədˈvaɪzə(r), ædˈvaɪzɚ] n. 顾问，劝告者 
affair	[əˈfeə(r), əˈfer] n. 事务 
affect	[əˈfɛkt, əˈfekt] vt. 影响;假装 n. 感情，情感，心情;[精神病学]（表露或觉察到的）情绪反应 
affection	[əˈfekʃn, əˈfɛkʃən] n. 喜爱，慈爱 
affirm	[əˈfɜ:rm, əˈfɜ:m] vt.&vi. 断言，肯定 
affirmative	[əˈfɜ:mətɪv, əˈfɜ:rmətɪv] adj. 肯定的;赞成的，同意的 n. 肯定词，肯定语;正方 
afford	[əˈfɔ:d, əˈfɔ:rd] vt. 提供 
afraid	[əˈfred, əˈfreɪd] adj. 恐怕 
Africa	['æfrɪkə, ˈæfrɪkə] n. 非洲 adj. 非洲的 
African	[ˈæfrɪkən] adj. 非洲的;非洲人的 n. 非洲人，非洲居民;（非洲）黑人民 
after	[ˈɑ:ftə(r), ˈæftə(r)] prep. …后的 conj. 在…以后 adv. 以后，继后 adj. 后来的，以后的 
afternoon	[ˌæftərˈnu:n, ˌɑ:ftəˈnu:n] n. 下午 
afterward	['ɑ:ftəwəd, ˈæftəwəd] adv. <美>以后，过后 
again	[əˈgen, əˈɡɛn] adv. 再一次 
against	[əˈgenst, əˈɡenst] prep. 反对 
age	[eɪdʒ, edʒ] n. 年龄 vt.&vi. （使）长大 vi. [化学]老化 vt. [化学]使老化 
agency	[ˈeɪdʒənsi, ˈedʒənsi] n. 代理 
agent	[ˈeɪdʒənt, ˈedʒənt] n. 代理人 vt. 由…作中介 adj. 代理的 
ago	[əˈgoʊ, əˈgəʊ] adv. 以前 
agony	[ˈægəni, ˈæɡəni] n. 极大的痛苦 
agree	[əˈɡri, əˈgri:] vt.&vi. 同意，赞同 vi. [语]一致，符合 vt. 同意，承认 
agreement	[əˈɡrimənt, əˈgri:mənt] n. 协定，协议 
agricultural	[ˌæɡrɪ'kʌltʃərəl] adj. 农业的，耕种的 
agriculture	[ˈægrɪkʌltʃə(r), ˈæɡrɪˌkʌltʃɚ] n. 农业 
ahead	[əˈhɛd, əˈhed] adv. 向前 
aid	[eɪd, ed] n. 帮助 vt. 帮助 vi. 帮助 
aim	[em, eɪm] vt. 瞄准 vi. 旨在 n. 目的 
air	[er, eə(r)] n. 空运 vt.&vi. 晾晒 vt. 使房间通风， 透气 
aircraft	[ˈerkræft, ˈeəkrɑ:ft] n. 飞机，航空器， 
airline	[ˈerlaɪn, ˈeəlaɪn] n. 航空公司 
airmail	[ˈeəmeɪl, ˈermeɪl] n. 航空邮件 vt. 航空邮寄 adj. 航空邮件的 adv. 通过航空邮寄 
airplane	[ˈeəpleɪn, ˈerpleɪn] n. <美>飞机 
airport	[ˈeəpɔ:t, ˈerpɔ:rt] n. 机场 
alarm	[əˈlɑ:m, əˈlɑ:rm] n. 警报;闹铃 vt. 警告;使惊恐 
alcohol	[ˈælkəhɔ:l, ˈælkəhɒl] n. 乙醇，酒精 
alert	[əˈlɜ:rt, əˈlɜ:t] adj. 警觉的，警惕的，注意的 n. 警报 vt. 向…报警 
alike	[əˈlaɪk] adj. 同样的，相似的 adv. 同样地;两者都，同样地 
alive	[əˈlaɪv] adj. 活着的 
all	[ɔl, ɔ:l] adj. 全部的 pron. 全部 adv. 全部地 n. 全体 
allied	[ˈælaɪd, əˈlaɪd,ˈælˌaɪd] adj. 同盟的，同盟国的;联合的 v. 联合(ally的过去分词) 
allow	[əˈlaʊ] vt. 允许;承认 vi. 容许;考虑 
ally	[ˈælaɪ, 'ælaɪ] n. 联盟;同盟国，同盟者 vt.&vi. （使）联盟，（使）同盟;（使）结盟，（使）联姻 
almost	[ˈɔ:lməʊst, ˈɔ:lmoʊst] adv. 将近 
alone	[əˈləʊn, əˈloʊn] adj. 单独的;独一无二的 adv. 单独地;独自地 
along	[əˈlɒŋ, əˈlɔ:ŋ] adv. 一起;向前 prep. 沿着;顺着 
alongside	[əˌlɔ:ŋˈsaɪd, əˌlɒŋˈsaɪd] adv. 在…的侧面;在…旁边 prep. 在…旁边;横靠 
aloud	[əˈlaʊd] adv. 大声 
already	[ɔ:lˈredi, ɔlˈrɛdi] adv. 早已，已经 
also	[ˈɔ:lsoʊ, ˈɔ:lsəʊ] adv. 也;同样 conj. 另外 
alter	[ˈɔ:ltə(r), ˈɔltɚ] vt. 改变;更改 vi. 改变;修改 
alternate	[ˈɔ:ltərnət, ɔ:lˈtɜ:nət] adj. 交替的 vi. 交替 vt. 使交替 n. 〈美〉（委员）代理人 
although	[ɔlˈðo, ɔ:lˈðəu] conj. 虽然 
altogether	[ˌɔ:ltəˈgeðə(r), ˌɔltəˈɡɛðɚ] adv. 总共;全部地 n. 〈口〉裸体 
always	[ˈɔ:lweɪz, ˈɔlwez,-wɪz,-wiz] adv. 常常 
AM	[, ˌeɪ ˈem] abbr. amplitude modulation 调幅 
am	[əm, æm] abbr. (=amplitude modulation) <无>调频，调谐 vi. （用于第一人称单数现在时）是 aux. （与v-ing连用构成现在进行时，与v-ed连用构成被动语态） 
amaze	[əˈmez, əˈmeɪz] vt. 使大为吃惊，使惊奇 n. 吃惊，好奇 
ambassador	[æmˈbæsədə(r), æmˈbæsədɚ, -ˌdɔr] n. 大使，使节 
ambiguous	[æmˈbɪɡjuəs, æmˈbɪgjuəs] adj. 模棱两可 
ambition	[æmˈbɪʃn, æmˈbɪʃən] n. 抱负;渴望得到的东西 vt. 追求;有…野心 
ambitious	[æmˈbɪʃəs] adj. 有雄心的 
ambulance	[ˈæmbjələns] n. 救护车 
America	[ə'merɪkə, əˈmɛrɪkə] n. 美洲 
American	[əˈmerɪkən, əˈmɛrɪkən] n. 美国人，美洲人;美国英语 adj. 美国的，美洲的;地道美国式的 
among	[əˈmʌŋ] prep. （表示牵涉）经过 
amount	[əˈmaʊnt] n. 量，数量;总额 vi. （在意义、价值、效果、程度等方面）等于;等同，接近 
ample	[ˈæmpl, ˈæmpəl] adj. 足够的 
amuse	[əˈmju:z, əˈmjuz] vt. 娱乐 
amusement	[əˈmju:zmənt, əˈmjuzmənt] n. 娱乐 
analysis	[əˈnælɪsɪs, əˈnæləsɪs] n. 分析，分解 
analyze	[ˈænəˌlaɪz, 'ænəlaɪz] vt. <美>分析 
ancient	[ˈenʃənt, ˈeɪnʃənt] adj. 古代的，已往的;古老的，过时的 n. 古代人;古文明国的国民 
and	[ənd, ən,ænd, ənd] conj. 而且 
angel	[ˈendʒəl, ˈeɪndʒl] n. 安琪儿 
anger	[ˈæŋɡɚ, ˈæŋgə(r)] n. 愤怒 vt.&vi. 激怒 vi. 发怒 
angle	[ˈæŋgl, ˈæŋɡəl] n. 角 vt. 使形成（或弯成）角度 vi. 垂钓 
angry	[ˈæŋɡri, ˈæŋgri] adj. 生气的 
animal	[ˈænɪml, ˈænəməl] n. 动物，兽，牲畜;<俚>家畜，牲口 adj. 动物的;肉体的 
anniversary	[ˌænɪˈvɜ:səri, ˌænɪˈvɜ:rsəri] n. 周年纪念日 adj. 周年的;周年纪念的 
announce	[əˈnaʊns] vi. 宣布参加竞选;当播音员 vt. 宣布;述说 
annoy	[əˈnɔɪ] vt. 打扰 vi. 惹恼，令人讨厌，打搅 n. 烦恼（等于annoyance） 
annual	[ˈænjuəl] adj. 每年的;一年的 n. 年刊;一年生植物 
another	[əˈnʌðɚ, əˈnʌðə(r)] adj. 又一个;再一个 pron. 另一个，别个;再一个 
answer	[ˈænsə(r), ˈɑ:nsə(r)] vt.&vi. 答复; 解答 n. 回答;答案 
ant	[ænt] n. 蚂蚁 
anxiety	[æŋˈzaɪɪti, æŋˈzaɪəti] n. 焦虑，忧虑 
anxious	[ˈæŋkʃəs] adj. 焦急的 
any	[ˈeni, ˈɛni] adj. 任何的 pron. 任何 adv. 稍微，少许 
anybody	[ˈenibɒdi, ˈenibʌdi] pron. 任何人，无论谁;随便哪一个人 n. <口语>重要的人，有声名的人;平常人 
anyhow	[ˈenihaʊ, ˈɛniˌhaʊ] adv. 无论如何 
anyone	[ˈeniwʌn, ˈɛniˌwʌn, -wən] pron. 任何人 
anything	[ˈɛniˌθɪŋ, ˈeniθɪŋ] pron. 任何东西 
anyway	[ˈeniweɪ, ˈɛniˌwe] adv. 无论如何 
anywhere	[ˈeniwer, ˈeniweə(r)] adv. 任何地方 
apartment	[əˈpɑ:tmənt, əˈpɑ:rtmənt] n. 房间 
apologize	[əˈpɑ:lədʒaɪz, əˈpɒlədʒaɪz] vi. 道歉，认错 
apology	[əˈpɑ:lədʒi, əˈpɒlədʒi] n. 道歉认错，愧悔 
apparent	[əˈpærənt, əˈpærənt, əˈpɛr-] adj. 易看见的，可看见的 
appeal	[əˈpi:l, əˈpil] n. 上诉 vi. （迫切）要求 vt. 将…移交上级法院审理 
appear	[əˈpɪə(r), əˈpɪr] vi. 发表 
appearance	[əˈpɪərəns, əˈpɪrəns] n. 外貌，外观 
appendix	[əˈpɛndɪks, əˈpendɪks] n. 附录 
appetite	[ˈæpɪtaɪt, ˈæpɪˌtaɪt] n. 欲望 
applaud	[əˈplɔ:d, əˈplɔd] vt. 鼓掌欢迎，欢呼;称赞，赞许 vi. 夸赞，鼓掌 
apple	[ˈæpl, ˈæpəl] n. 苹果 
application	[ˌæplɪˈkeɪʃn, ˌæplɪˈkeʃən] n. 适用，应用，运用 
apply	[əˈplaɪ] vt. 申请;涂 vi. 申请，请求，适用;适用，适合 
appoint	[əˈpɔɪnt] vt. 任命，委派 
appointment	[əˈpɔɪntmənt] n. 任命 
appreciate	[əˈpriʃiˌet, əˈpri:ʃieɪt] vt. 欣赏;感激 vi. （使）增值，涨价 
approach	[əˈprəʊtʃ, əˈproʊtʃ] vt.&vi. 接近，走近，靠近 vt. 接近 n. 方法 vi. 靠近 
approval	[əˈpru:vl, əˈpruvəl] n. 批准 
approve	[əˈpruv, əˈpru:v] vt.&vi. 赞成，同意 vt. 批准 vi. 赞同 
April	[ˈeprəl, ˈeɪprəl] n. 四月 
apt	[æpt] adj. 恰当的，适当的;有…倾向的 abbr. (=automatically programmed tool)自动数控程序;(=automatic picture transmission)（人造卫星）自动图像传输 
Arabian	[əˈreɪbiən, əˈrebiən] adj. 阿拉伯的，阿拉伯人的 n. 阿拉伯人，阿拉伯半岛居民 
arch	[ɑ:rtʃ, ɑ:tʃ] n. 拱门 vt. （使）弯成拱形 vi. 拱起 adj. 主要的 
architect	[ˈɑ:rkɪtekt, ˈɑ:kɪtekt] n. 建筑师，设计师 
architecture	[ˈɑ:rkɪtektʃə(r), ˈɑ:kɪtektʃə(r)] n. 体系结构 
Arctic	[ˈɑ:ktɪk, ˈɑ:rktɪk] adj. 北极的;极冷的 n. 北极圈，北极地带 
are	[ɑ:(r), ɑ:r] vi. （用于第二人称单复数现在时，第一、三人称复数现在时）是 n. 公亩（等于100平方米） 
area	[ˈeriə, ˈeəriə] n. 地区 
argue	[ˈɑ:gju:, ˈɑ:rgju:] vt. 坚决主张;提出理由证明 vi. 争论，辩论;提出理由 
argument	[ˈɑ:gjumənt, ˈɑ:rgjumənt] n. 论据 
arise	[əˈraɪz] vi.&vt. 出现 
arm	[ɑ:m, ɑ:rm] n. 臂 vi. 准备（斗争），准备行动（against） vt. 装备（防御工事） 
army	[ˈɑ:mi, ˈɑ:rmi] n. 军队 
around	[əˈraʊnd] adv. 大约;旋转 prep. 围绕;在附近 
arouse	[əˈraʊz] vt. 引起 
arrange	[əˈreɪndʒ, əˈrendʒ] vt. 整理;把…（系统地）分类 vi. （就某事与某人）达成协议，（与某人）商定（某事）(with a person about 或 for a thing);[音乐]（尤指专业）改编乐曲 
arrest	[əˈrest, əˈrɛst] vt. 逮捕，拘捕 vi. 心跳停止 n. 拘留 
arrival	[əˈraɪvəl, əˈraɪvl] n. 到达，抵达 
arrive	[əˈraɪv] vi. 到达，来 
arrow	[ˈæroʊ, ˈærəʊ] n. 矢，箭 
art	[ɑ:rt, ɑ:t] n. 艺术 vi. thou art 即 you are
artificial	[ˌɑ:tɪˈfɪʃl, ˌɑ:rtɪˈfɪʃl] adj. 人工的;人造的 n. 人造肥料;<美>假花 
artist	[ˈɑ:tɪst, ˈɑ:rtɪst] n. 艺术家 
as	[æz,əz, əz] adv. 同样地，一样地 prep. 作为，以…的身份 conj. 由于 n. 阿斯（古罗马重量单位，约373克） 
ash	[æʃ] n. 灰，灰烬 
ashamed	[əˈʃeɪmd, əˈʃemd] adj. 惭愧的，羞耻的，害臊的 
ashore	[əˈʃɔr, əˈʃor, əˈʃɔ:(r)] adv. 上岸 
Asia	[ˈeɪʒə] n. 亚洲 
Asian	[ˈeɪʃn, ˈeʒən, ˈeʃən] n. 亚洲人 adj. 亚洲的，亚洲人的 
aside	[əˈsaɪd] adv. 在旁边，在一边，到旁边，到一边 n. [戏]旁白，独白 prep. 在…旁边 
ask	[æsk, ɑ:sk] vt.&vi. 问，询问 vt. 询问 vi. 要求 
asleep	[əˈslip, əˈsli:p] adj. 睡着的;休眠的 adv. 熟睡地;处于麻木不仁的状态 
aspect	[ˈæspɛkt, ˈæspekt] n. 方面 
assemble	[əˈsembl, əˈsɛmbəl] vt.&vi. 集合，收集 vt. 装配，组合 
assembly	[əˈsembli, əˈsɛmbli] n. 装配 
assert	[əˈsɜ:t, əˈsɜ:rt] vt. 声称，断言 
assignment	[əˈsaɪnmənt] n. 分给，分配 
assist	[əˈsɪst] n. 帮助 vt. 帮助 vi. 援助 
assistance	[əˈsɪstəns] n. 帮助，援助 
assistant	[əˈsɪstənt] n. 助手，助理;[化学]（染色的）助剂 adj. 助理的;辅助的 
associate	[əˈsəʊʃieɪt, əˈsoʊʃieɪt] vt. 联想;（使）发生联系 vi. 联盟;陪伴同事 
association	[əˌsoʊʃiˈeɪʃn, əˌsəʊʃiˈeɪʃn] n. 联想 
assume	[əˈsju:m, əˈsu:m] v. 承担 
assure	[əˈʃʊə(r), əˈʃʊr] vt. 向…保证 
astonish	[əˈstɒnɪʃ, əˈstɑ:nɪʃ] vt. 使惊讶，使大为吃惊 
at	[ət, æt,ət] prep. （表示位置）在;在（某时间或时刻） n. 阿特（老挝辅币单位，100 阿特 = 1 基普） 
Atlantic	[ətˈlæntɪk, ət'læntɪk] adj. 在大西洋里的，近大西洋的 n. （the Atlantic）大西洋 
atmosphere	[ˈætməsfɪr, ˈætməsfɪə(r)] n. 气氛 
atom	[ˈætəm] n. 原子 
attach	[əˈtætʃ] vt.&vi. 附上 vt. （有时不受欢迎或未受邀请而）参加 vi. 附着 
attack	[əˈtæk] vt.&vi. 攻击，进攻，抨击 n. 攻击 vt. 抨击 
attain	[əˈteɪn, əˈten] vt.&vi. 达到，获得 vt. 获得 vi. 达到 
attempt	[əˈtempt, əˈtɛmpt] vt. 尝试;试图 n. 进攻;尝试，冲击 
attend	[əˈtend, əˈtɛnd] vi. 出席;致力于，献身于 vt. 出席，参加;[常用被动语态]（作为结果、情况）伴随 
attendant	[əˈtɛndənt, əˈtendənt] n. 服务人员，侍者;随从，随员 adj. 伴随的，随之而产生的;出席的 
attention	[əˈtɛnʃən, əˈtenʃn] n. 注意，注意力;照料，关怀 int. [口令]立正 
attentive	[əˈtentɪv, əˈtɛntɪv] adj. 细心 
attitude	[ˈætɪtju:d, ˈætɪtu:d] n. 态度 
attorney	[əˈtɜ:rni, əˈtɜ:ni] n. 律师 
attract	[əˈtrækt] vt. 吸引;诱惑 vi. 具有吸引力;引人注意 
attractive	[əˈtræktɪv] adj. 迷人的 
attribute	[əˈtrɪbju:t, əˈtrɪbjut] vt. 认为…是 
audience	[ˈɔ:diəns, ˈɔdiəns] n. 观众 
August	[ˈɔ:gəst, 'ɔɡəst] adj. 尊严的，威严的，令人敬畏的;威风凛凛的 n. 八月（简写为Aug）;奥古斯特 
aunt	[ɑ:nt, ænt] n. 阿姨 
aural	[ˈɔ:rəl, ˈɔrəl] adj. 听觉的 
Australia	[ɒ'streɪlɪə, ɔˈstreljə] n. [地名][大洋洲]澳大利亚，澳洲 
Australian	[ɒˈstreɪliən, ɔˈstreljən] n. 澳大利亚人 adj. 澳大利亚的;澳大利亚人的 
author	[ˈɔ:θə(r), ˈɔθɚ] n. 作者;著作家 vt. 创作出版 
authority	[ɔ:ˈθɒrəti, əˈθɔ:rəti] n. 权威 
auto	[ˈɔ:toʊ, ˈɔ:təʊ] n. <美>汽车 vi. 乘汽车 
autumn	[ˈɔtəm, ˈɔ:təm] n. 秋;秋天 adj. 秋天的;秋季的 
available	[əˈveləbəl, əˈveɪləbl] adj. 可获得的 
avenue	[ˈævənju:, ˈævənu:] n. 大街 
average	[ˈævərɪdʒ, ˈævərɪdʒ, ˈævrɪdʒ] adj. 平均的 n. 平均水平 vt. [数学] 计算…的平均值 vi. 平均：作为或达到一个中间值 
avoid	[əˈvɔɪd] vt. 避开，避免，预防 
await	[əˈwet, əˈweɪt] vt. 等待 
awake	[əˈwek, əˈweɪk] adj. 醒着的;警惕的 vt.&vi. 唤醒;唤起 
award	[əˈwɔ:rd, əˈwɔ:d] vt. 授予，奖给，判给;判归，判定 n. 奖品;（仲裁人、公断人的）裁定 
aware	[əˈweə(r), əˈwer] adj. 意识到的 
away	[əˈwe, əˈweɪ] adv. 消失;离开，远离 adj. 不在的;遥远的 
awful	[ˈɔ:fl, ˈɔfəl] adj. 可怕的;糟糕的 adv. 非常，极 
awfully	[ˈɔ:fli, ˈɔflɪ] adv. 非常 
awkward	[ˈɔ:kwəd, ˈɔ:kwərd] adj. 笨拙的 
baby	[ˈbeɪbi] n. 婴儿 vt. 把…当作婴孩看待，娇养 adj. 孩子的 
back	[bæk] n. 背，背部 vt. 使后退 vi. 后退 adj. 后面的 adv. 以前 
background	[ˈbækgraʊnd, ˈbækˌɡraʊnd] n. （画等的）背景 
backwards	[ˈbækwərdz, ˈbækwədz] adj. 向后的;倒行的 adv. 向后;倒 
bacon	[ˈbeɪkən, ˈbekən] n. 培根 
bad	[bæd] adj. 坏的，不好的 n. 坏人，坏事 adv. 不好地，非常地 
badly	[ˈbædli] adv. 非常，在很大程度上 
badminton	[ˈbædˌmɪntən, ˈbædmɪntən] n. 羽毛球 
bag	[bæɡ, bæg] n. 袋，囊，枕套 vt. 把。。装入袋中，猎获 vi. 松散地垂挂 
baggage	[ˈbægɪdʒ, ˈbæɡɪdʒ] n. 行李 
bake	[bek, beɪk] vt. 烤，烘焙 vi. 烤，烘 n. 烤，烘焙 
bakery	[ˈbekəri, ˈbeɪkəri] n. 面包房，面包店 
balance	[ˈbæləns] n. 平衡 vt.&vi. 权衡 vt. 结平（账目） vi. 微微摇摆 
bald	[bɔ:ld, bɔld] adj. 秃头的 
ball	[bɔ:l, bɔl] n. 球 vt. 做成球状，使成团块 vi. 呈球形，成团块 
balloon	[bəˈlu:n, bəˈlun] n. 气球 vt. 膨胀，涨大 adj. 气球状的 vi. 乘气球飞行 
banana	[bəˈnɑ:nə, bəˈnænə] n. 香蕉 
band	[bænd] n. 带 vt. 给…镶边 vt.&vi. 结合起来，伙同 vi. 聚集，联合（起来）（通常与together 连用） 
bandage	[ˈbændɪdʒ] n. 绷带 vt. 用绷带绑扎 
bang	[bæŋ] n. 巨响 vt. 猛击，猛撞 vi. 发出砰的一声，砰砰作响，砰地敲[推，扔] adv. 正好，完全地 
bank	[bæŋk] n. 银行 vt.&vi. 堆积 vi. （转弯时）倾斜飞行 vt. （用煤等）封炉火 
bankrupt	[ˈbæŋkrʌpt, ˈbæŋkˌrʌpt, -rəpt] adj. 破产的，倒闭的 n. 破产者 vt. 使破产，使枯竭，使极端贫困 
banner	[ˈbænɚ, ˈbænə(r)] n. 横幅;标语 adj. 第一流的，第一位的;杰出的 
bar	[bɑ:(r), bɑ:r] n. 条，棒 vt. 闩（门等） prep. 除…之外 
barber	[ˈbɑ:bə(r), ˈbɑ:rbə(r)] n. 理发师 vt. 为…理发剃须 vi. 当理发师 
bare	[beə(r), ber] adj. 光秃秃的;赤裸的 vt. 使赤裸;使露出 
barely	[ˈbeəli, ˈberli] adv. 仅仅，勉强，好容易才 
bargain	[ˈbɑ:gən, ˈbɑ:rgən] n. 交易 vt. 做交易 vi. 讨价还价 
bark	[bɑ:k, bɑ:rk] vi. 吠叫 vt. 大声喊出 n. 树皮 
barn	[bɑ:rn, bɑ:n] n. 牲口棚 
barrel	[ˈbærəl] n. 桶 adj. 桶状的 vt. 装进桶里，放进桶里 vi. 高速行驶 
base	[bes, beɪs] n. 基地 vt. 基于 adj. 卑鄙的 
baseball	[ˈbeɪsbɔ:l, ˈbesˌbɔl] n. 棒球 
basement	[ˈbeɪsmənt, ˈbesmənt] n. 地下室 
basic	[ˈbeɪsɪk, ˈbesɪk] adj. 基本的;[化学]碱性的 n. 基础，基本;基本原则，基本原理，基本规律 
basin	[ˈbeɪsn, ˈbesɪn] n. 盆地 
basis	[ˈbeɪsɪs, ˈbesɪs] n. 基础 
basket	[ˈbæskɪt, ˈbɑ:skɪt] n. 篮;一篮 v. 把…装入篮内;把…丢入字纸篓里 
basketball	[ˈbɑ:skɪtbɔ:l, ˈbæskɪtbɔ:l] n. 篮球 
bat	[bæt] n. 蝙蝠;短棍，（棒球等的）球棒，（网球等的）球拍 vt.&vi. 用球板击球，用球棒击球（尤指板球或棒球运动） 
batch	[bætʃ] n. 一批 
